Date : 2021-04-06 19:25:48
Directory : c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\
Total : 345 files,  35713 codes, 779 comments, 3514 blanks, all 40006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        345 |     35,713 |        779 |      3,514 |     40,006 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_halaqat\admin_halaqat_bloc.dart                                 | Dart     |        103 |          1 |         10 |        114 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_halaqat\admin_halaqat_provider.dart                             | Dart     |         49 |          0 |          8 |         57 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_halaqat\admin_halaqat_screen.dart                               | Dart     |        249 |          2 |         15 |        266 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_halaqat\admin_new_halaqa_screen.dart                            | Dart     |        106 |          0 |          9 |        115 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_home_page.dart                                                  | Dart     |        331 |          0 |         14 |        345 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_profile\admin_profile_bloc.dart                                 | Dart     |         21 |          0 |          3 |         24 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_profile\admin_profile_provider.dart                             | Dart     |         13 |          0 |          4 |         17 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_profile\admin_profile_screen.dart                               | Dart     |        117 |          1 |         11 |        129 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\admin_reports_bloc.dart                                 | Dart     |         11 |          0 |          4 |         15 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\admin_reports_provider.dart                             | Dart     |         16 |          0 |          4 |         20 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\admin_reports_screen.dart                               | Dart     |        213 |          1 |          9 |        223 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_logs\center_log_tile.dart                        | Dart     |         29 |          0 |          5 |         34 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_logs\center_logs_bloc.dart                       | Dart     |         96 |          0 |         15 |        111 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_logs\center_logs_provider.dart                   | Dart     |         28 |          0 |          4 |         32 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_logs\center_logs_screen.dart                     | Dart     |        188 |          5 |         19 |        212 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_numbers\center_numbers_bloc.dart                 | Dart     |         85 |          0 |         15 |        100 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_numbers\center_numbers_card.dart                 | Dart     |        112 |          0 |         13 |        125 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_numbers\center_numbers_provider.dart             | Dart     |         35 |          0 |          6 |         41 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\center_numbers\center_numbers_screen.dart               | Dart     |        148 |          0 |         14 |        162 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\centers_reports\admin_center_report_row.dart            | Dart     |         20 |          0 |          3 |         23 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\centers_reports\admin_centers_report_bloc.dart          | Dart     |        109 |          2 |         18 |        129 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\centers_reports\admin_centers_report_card.dart          | Dart     |        182 |          0 |         11 |        193 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\centers_reports\admin_centers_report_provider.dart      | Dart     |         38 |          1 |          7 |         46 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\centers_reports\admin_centers_report_screen.dart        | Dart     |        131 |          0 |         15 |        146 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t__center_attendance\t_center_attendance_bloc.dart      | Dart     |         73 |          0 |         15 |         88 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t__center_attendance\t_center_attendance_card.dart      | Dart     |         95 |          0 |         12 |        107 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t__center_attendance\t_center_attendance_provider.dart  | Dart     |         32 |          0 |          5 |         37 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t__center_attendance\t_center_attendance_screen.dart    | Dart     |        158 |          0 |         14 |        172 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t_attendance\t_attendance_bloc.dart                     | Dart     |        166 |          0 |         14 |        180 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t_attendance\t_attendance_provider.dart                 | Dart     |         21 |          0 |          4 |         25 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_reports\t_attendance\t_attendance_screen.dart                   | Dart     |        205 |          0 |         14 |        219 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_requests\center_request_details_screen.dart                     | Dart     |        263 |          0 |          8 |        271 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_requests\center_requests_bloc.dart                              | Dart     |        102 |          4 |         14 |        120 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_requests\center_requests_provider.dart                          | Dart     |         97 |          6 |         21 |        124 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_requests\center_requests_screen.dart                            | Dart     |        202 |          1 |         20 |        223 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_requests\center_requests_tile_widget.dart                       | Dart     |         71 |          0 |          7 |         78 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_students\admin_new_student_screen.dart                          | Dart     |        131 |          1 |          9 |        141 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_students\admin_student_tile_widget.dart                         | Dart     |        182 |          0 |         10 |        192 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_students\admin_students_bloc.dart                               | Dart     |        241 |          3 |         26 |        270 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_students\admin_students_provider.dart                           | Dart     |         52 |          0 |         10 |         62 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_students\admin_students_screen.dart                             | Dart     |        334 |          3 |         19 |        356 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_supervisors\admin_new_supervisor_screen.dart                    | Dart     |        135 |          1 |          9 |        145 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_supervisors\admin_supervisor_tile_widget.dart                   | Dart     |        177 |          0 |          9 |        186 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_supervisors\admin_supervisors_bloc.dart                         | Dart     |        164 |         99 |         29 |        292 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_supervisors\admin_supervisors_provider.dart                     | Dart     |         48 |          0 |          9 |         57 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_supervisors\admin_supervisors_screen.dart                       | Dart     |        339 |         16 |         24 |        379 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\admin_new_teacher_screen.dart                          | Dart     |        134 |          1 |          9 |        144 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\admin_teacher_bloc.dart                                | Dart     |        258 |          3 |         29 |        290 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\admin_teacher_provider.dart                            | Dart     |         48 |          0 |          9 |         57 |
